"exito","area","tam_cat","orientacion","soporte_grp","sop_montaje","tecnica","tipo_autor","serie","fecha_est","fecha_ancho","tema"
"0",7191,"mediano","horizontal","Tabla/Panel","0","oleo","varios","0",1496,0,"mitologia"
"0",7222,"mediano","horizontal","Tabla/Panel","0","oleo","varios","0",1496,0,"otros"
"0",1813,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1496,1,"otros"
"0",701.43,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1496,1,"religioso"
"0",2132,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1498,0,"retrato_corte"
"0",1221.09,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1500,0,"religioso"
"0",1680,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1502,5,"religioso"
"0",11088,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1518,35,"religioso"
"0",11088,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1518,35,"religioso"
"0",1254,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1518,35,"religioso"
"0",1673.25,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1503,4,"otros"
"0",5565,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1510,19,"religioso"
"0",4836,"pequeno","horizontal","Tabla/Panel","0","oleo","hombre","0",1510,19,"religioso"
"0",840,"pequeno","vertical","Tabla/Panel","0","oleo","varios","0",1510,19,"religioso"
"0",1160,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1510,19,"religioso"
"0",4350,"pequeno","vertical","Lienzo","1","oleo","hombre","0",1513,24,"religioso"
"0",1776,"pequeno","vertical","Tabla/Panel","0","oleo","varios","0",1517,32,"religioso"
"0",5544,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1517,32,"religioso"
"0",20100,"grande","horizontal","Tabla/Panel","0","oleo","anonimo","0",1517,32,"religioso"
"0",8400,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1517,32,"religioso"
"0",12740,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1517,32,"religioso"
"0",30960,"grande","vertical","Tabla/Panel","0","oleo","hombre","0",1517,32,"religioso"
